,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y1
290,0.69,735.0,294.0,220.5,8.941728843603595,3,0.4,4,8.255231688981109,14.62
72,0.69,735.0,294.0,220.5,3.501656519345577,2,0.25,5,4.077517826809611,12.47
244,0.82,612.5,318.5,147.0,23.797774313332123,5,0.4,5,5.17293823895757,29.92
394,0.62,808.5,367.5,220.5,-5.432195519589273,3,0.4,3,0.05888837642927569,16.35
620,0.74,686.0,245.0,220.5,10.287447057642277,5,0.4,3,4.099603231454759,13.78
63,0.82,612.5,318.5,147.0,2.92829099434001,4,0.1,5,14.256529447041704,22.89
716,0.74,686.0,245.0,220.5,-4.633465028611978,2,0.4,2,4.447816403189688,14.54
659,0.9,563.5,318.5,122.5,9.49046938754308,4,0.4,4,-6.0820780177033456,35.4
314,0.71,710.5,269.5,220.5,-1.2800815575331326,5,0.4,5,6.44548132764406,12.42
118,0.69,735.0,294.0,220.5,8.477657152347216,3,0.25,5,2.4206045722128797,12.12
728,0.82,612.5,318.5,147.0,23.09816356560612,4,0.4,4,16.90584849658266,28.64
49,0.9,563.5,318.5,122.5,-3.4705631929528966,5,0.25,5,-0.9735670669168015,32.46
662,0.64,784.0,343.0,220.5,5.025084730120195,4,0.25,2,4.361131038933362,17.02
411,0.71,710.5,269.5,220.5,-2.5679626776005557,2,0.1,3,-1.138364015291006,10.77
605,0.76,661.5,416.5,122.5,21.068963873561067,4,0.25,2,5.084853627454526,36.86
227,0.9,563.5,318.5,122.5,5.472769666181611,4,0.1,4,3.470058367368875,28.86
168,0.76,661.5,416.5,122.5,8.386733314963266,2,0.1,5,4.852143385170107,32.31
513,0.64,784.0,343.0,220.5,3.136710256542094,3,0.4,3,3.3897070778333607,18.71
7,0.98,514.5,294.0,110.25,-4.036945318311444,2,0.25,2,7.673790777323438,28.67
196,0.98,514.5,294.0,110.25,14.898676132712815,3,0.1,3,4.5007993382084885,24.4
275,0.62,808.5,367.5,220.5,10.873200895395675,2,0.25,2,2.6989088867809117,14.34
23,0.79,637.0,343.0,147.0,-0.05499720982174239,2,0.1,4,9.527359660689239,36.86
383,0.79,637.0,343.0,147.0,8.147107738738008,3,0.4,4,8.276473969695864,41.73
101,0.98,514.5,294.0,110.25,4.471417151783601,4,0.25,1,3.221967401497943,28.37
763,0.76,661.5,416.5,122.5,9.738702675916972,5,0.1,1,7.873093667225435,32.21
706,0.64,784.0,343.0,220.5,8.933142203505565,5,0.25,3,7.034937831470663,16.86
259,0.62,808.5,367.5,220.5,10.640778706394475,5,0.4,3,3.6323944841059204,16.74
193,0.74,686.0,245.0,220.5,-6.56062287131693,3,0.1,1,6.357968121467653,10.43
549,0.71,710.5,269.5,220.5,0.9917625106208168,4,0.25,3,11.463062507215888,12.1
2,0.98,514.5,294.0,110.25,15.992901759888108,2,0.4,3,-0.07561946858115887,32.82
215,0.69,735.0,294.0,220.5,8.208426158165757,3,0.25,4,3.5879442857043955,12.95
382,0.82,612.5,318.5,147.0,4.045782886030375,3,0.25,4,-0.2146360122472757,24.96
648,0.66,759.5,318.5,220.5,4.170613023434887,2,0.4,2,8.752597316224461,15.34
606,0.79,637.0,343.0,147.0,9.976843780854903,4,0.1,5,9.108779984943814,36.77
714,0.82,612.5,318.5,147.0,13.054309439895857,3,0.0,0,-4.034784674195869,17.41
731,0.64,784.0,343.0,220.5,11.860707792678028,5,0.25,4,9.603326191637223,16.62
691,0.86,588.0,294.0,147.0,-3.937102451681966,3,0.1,4,9.642228742424592,25.37
603,0.74,686.0,245.0,220.5,11.474870187726463,4,0.25,3,6.048462153621527,11.98
617,0.66,759.5,318.5,220.5,-0.15841324069431995,4,0.4,4,0.6951221537154662,15.09
79,0.86,588.0,294.0,147.0,4.570191769786683,4,0.0,0,-2.0663645950689875,19.34
694,0.79,637.0,343.0,147.0,11.418399501436186,3,0.25,3,10.721997020708148,38.35
433,0.86,588.0,294.0,147.0,13.637859343033396,4,0.1,3,-0.7374904763781798,26.89
486,0.64,784.0,343.0,220.5,4.107642143328699,5,0.1,5,11.83903177914626,15.36
677,0.82,612.5,318.5,147.0,19.154271389134152,2,0.1,3,2.1374902299399934,22.93
133,0.74,686.0,245.0,220.5,8.607135404867064,2,0.4,3,8.280560603952312,13.97
218,0.82,612.5,318.5,147.0,23.19447698629482,5,0.25,2,2.7273602936757384,24.94
55,0.64,784.0,343.0,220.5,-0.4330894850563789,4,0.1,4,2.284163570252444,15.32
725,0.98,514.5,294.0,110.25,17.63146655628328,5,0.1,5,2.53390142883889,24.26
355,0.9,563.5,318.5,122.5,13.792816885945152,3,0.4,1,-2.1718807649043987,37.24
534,0.98,514.5,294.0,110.25,-3.808594929664171,5,0.4,5,8.188582991353758,32.73
344,0.98,514.5,294.0,110.25,2.5335859684317557,2,0.0,0,3.8201313235780314,15.55
296,0.64,784.0,343.0,220.5,6.281411868306691,2,0.4,2,3.272870261710009,19.2
462,0.79,637.0,343.0,147.0,5.948219234626658,2,0.4,5,6.417880006132362,42.11
60,0.69,735.0,294.0,220.5,11.981679259991038,4,0.4,5,1.7294670557996272,14.37
618,0.76,661.5,416.5,122.5,6.657412949507401,3,0.4,4,4.189301802925847,40.4
346,0.69,735.0,294.0,220.5,7.016009844961811,2,0.25,2,1.7354235835234362,12.85
294,0.86,588.0,294.0,147.0,2.966561351938628,5,0.4,1,9.419841495643329,31.29
231,0.62,808.5,367.5,220.5,7.279250223043019,4,0.25,1,12.716557283827363,15.08
340,0.71,710.5,269.5,220.5,8.82739401643569,3,0.1,2,0.49154339513498657,10.72
535,0.82,612.5,318.5,147.0,-3.579663653948561,5,0.1,4,3.3556628925227954,24.24
306,0.9,563.5,318.5,122.5,-6.806453830324774,4,0.25,2,4.302510099598955,32.33
718,0.69,735.0,294.0,220.5,3.1855416989789505,3,0.1,5,7.847796973716749,11.14
90,0.64,784.0,343.0,220.5,5.6228987951970275,3,0.1,2,7.1763969541277515,15.18
377,0.86,588.0,294.0,147.0,11.93604759661358,5,0.1,2,1.5883584304329985,25.36
235,0.79,637.0,343.0,147.0,6.994331243386832,4,0.0,0,7.196098974468601,29.63
158,0.66,759.5,318.5,220.5,8.88288988773456,5,0.1,4,8.44008969911336,11.43
69,0.74,686.0,245.0,220.5,4.718838976269776,3,0.25,3,1.5731784318802662,12.03
260,0.71,710.5,269.5,220.5,-6.18937543424625,2,0.25,3,10.491794570674923,12.41
131,0.76,661.5,416.5,122.5,20.141383626047705,5,0.1,4,3.798050488411689,32.31
44,0.69,735.0,294.0,220.5,8.58334424167381,3,0.0,0,-0.13669826412934638,6.79
70,0.9,563.5,318.5,122.5,0.42064054094239545,4,0.1,1,12.003553503779564,29.14
264,0.62,808.5,367.5,220.5,0.24370949658575602,3,0.25,1,5.096863388308676,15.12
673,0.74,686.0,245.0,220.5,-7.744536153429136,5,0.4,5,3.974688420050602,14.39
286,0.98,514.5,294.0,110.25,10.493908413868077,5,0.4,4,4.79985351841166,32.74
640,0.82,612.5,318.5,147.0,11.790355116495281,4,0.1,4,13.119402894497036,23.59
135,0.64,784.0,343.0,220.5,8.325499448658745,4,0.4,4,3.9918364740336507,19.0
745,0.71,710.5,269.5,220.5,4.488381567644659,3,0.25,3,2.7842626912724446,12.28
165,0.64,784.0,343.0,220.5,-8.24020212601952,5,0.1,4,14.842039016841884,15.16
164,0.64,784.0,343.0,220.5,-6.412856605231207,3,0.25,2,5.729979580546712,16.84
28,0.64,784.0,343.0,220.5,-2.8393593679996902,2,0.25,1,2.0714763962210836,17.5
608,0.64,784.0,343.0,220.5,3.0750347758596375,2,0.25,2,3.791376691522762,17.14
583,0.74,686.0,245.0,220.5,3.527004052777288,3,0.4,4,6.040251326253697,14.48
746,0.86,588.0,294.0,147.0,22.63325947000229,5,0.25,5,0.17391868770113028,29.39
292,0.69,735.0,294.0,220.5,-10.728700672052135,3,0.1,3,7.349723342727431,11.16
136,0.86,588.0,294.0,147.0,2.6470879830864593,5,0.4,5,9.659031252789516,32.06
432,0.82,612.5,318.5,147.0,-3.396649895420781,4,0.4,2,10.476733075247287,28.64
554,0.86,588.0,294.0,147.0,23.45234851863633,2,0.25,5,7.038361440552388,29.71
319,0.76,661.5,416.5,122.5,0.5338742268725891,2,0.25,5,6.58075423019718,35.69
594,0.86,588.0,294.0,147.0,13.867608933253322,3,0.25,4,10.76124142507486,28.42
6,0.98,514.5,294.0,110.25,-0.7732538763302879,3,0.1,2,-2.088630298222152,24.31
615,0.74,686.0,245.0,220.5,2.991803403077159,3,0.25,5,4.752576946348026,11.67
357,0.71,710.5,269.5,220.5,2.9272059851354655,4,0.25,1,10.52159474908186,12.57
73,0.82,612.5,318.5,147.0,6.925597430891084,3,0.1,2,2.7419362790450847,24.23
352,0.66,759.5,318.5,220.5,-5.233607009114515,2,0.1,4,8.426920364276324,11.44
497,0.66,759.5,318.5,220.5,22.410979956954886,3,0.1,4,5.482936852810837,11.42
145,0.66,759.5,318.5,220.5,1.9717778991986479,3,0.1,2,5.06613726067313,11.42
514,0.76,661.5,416.5,122.5,7.203107364339282,5,0.25,5,3.5446991219569157,36.7
291,0.66,759.5,318.5,220.5,13.0400600998238,4,0.25,5,5.95018451557249,12.78
132,0.62,808.5,367.5,220.5,-3.70496587718295,4,0.25,2,3.5107246819449687,14.6
559,0.9,563.5,318.5,122.5,-0.34949209188875496,2,0.4,2,2.292788797852454,35.84
631,0.71,710.5,269.5,220.5,2.0237971387532037,2,0.4,3,4.075190762521717,14.07
719,0.76,661.5,416.5,122.5,5.924025724786138,4,0.1,3,8.759153641273656,32.33
395,0.64,784.0,343.0,220.5,13.38649296005551,3,0.1,3,5.461236562132169,15.36
41,0.74,686.0,245.0,220.5,1.9493908898175718,2,0.25,4,3.788805041127805,12.32
637,0.71,710.5,269.5,220.5,-5.601485363398533,2,0.25,4,1.5072649539394065,12.36
108,0.69,735.0,294.0,220.5,-8.050838529068335,5,0.4,3,7.452274241071761,14.08
481,0.71,710.5,269.5,220.5,15.397969242687418,2,0.25,1,3.8957489463134403,12.57
56,0.74,686.0,245.0,220.5,9.956980773098483,3,0.25,2,9.925640209148078,12.45
323,0.64,784.0,343.0,220.5,14.712788743571435,4,0.25,5,1.647177144069051,16.76
685,0.9,563.5,318.5,122.5,11.42600975987827,5,0.25,1,2.490252071241363,32.0
758,0.69,735.0,294.0,220.5,8.003046881394837,4,0.25,4,6.2979000012303015,12.67
572,0.74,686.0,245.0,220.5,-7.520940006033898,4,0.1,2,7.404275523351197,10.32
529,0.69,735.0,294.0,220.5,-1.3978938760620023,5,0.25,3,6.2438894734226835,12.12
24,0.64,784.0,343.0,220.5,2.195464288449889,3,0.1,5,-0.1316518790012573,15.37
465,0.86,588.0,294.0,147.0,-5.852616805909435,3,0.4,1,6.594882352377833,32.39
247,0.76,661.5,416.5,122.5,1.8196655549187266,5,0.4,2,15.704044633058349,40.42
443,0.79,637.0,343.0,147.0,9.724713731203973,4,0.25,4,10.96608460729488,38.33
351,0.76,661.5,416.5,122.5,12.3499332447401,2,0.1,2,-4.632419652589009,33.16
327,0.71,710.5,269.5,220.5,-4.484485018515303,3,0.25,2,1.1576629657263318,12.29
110,0.76,661.5,416.5,122.5,2.5957052040673316,4,0.1,2,2.6780966308878087,33.12
82,0.71,710.5,269.5,220.5,-0.30976698835727223,4,0.1,3,-3.608315661885736,10.68
51,0.66,759.5,318.5,220.5,4.970796358029559,2,0.25,5,6.561976298946487,12.93
449,0.64,784.0,343.0,220.5,3.1521844014891007,5,0.25,5,3.675919497221733,16.92
762,0.71,710.5,269.5,220.5,0.8188977506283859,2,0.4,4,2.5009486668856784,14.6
703,0.82,612.5,318.5,147.0,-5.518422170896441,3,0.1,4,8.375949724225979,22.8
619,0.69,735.0,294.0,220.5,3.9641818784671616,4,0.4,3,9.534009006486322,14.33
198,0.98,514.5,294.0,110.25,4.441219813961249,5,0.25,1,11.437654809303194,28.41
538,0.86,588.0,294.0,147.0,11.391070682538915,2,0.0,0,-1.2789783603189524,19.5
329,0.74,686.0,245.0,220.5,5.501601650013556,5,0.1,1,6.268292705106144,10.39
302,0.74,686.0,245.0,220.5,8.934986263652027,2,0.25,2,-2.517402035119394,12.35
334,0.62,808.5,367.5,220.5,7.776045187844402,2,0.1,3,4.434678502014654,12.68
139,0.64,784.0,343.0,220.5,-4.517499646251782,3,0.4,2,1.4979016763111903,18.88
485,0.66,759.5,318.5,220.5,7.276018167354195,2,0.4,4,-0.865073414685093,15.34
547,0.76,661.5,416.5,122.5,30.88207202082728,4,0.1,5,-4.206992758146999,32.46
18,0.71,710.5,269.5,220.5,13.011306971797143,2,0.4,2,1.8330459435032016,14.7
593,0.86,588.0,294.0,147.0,12.209089934589256,4,0.4,3,-0.08181727561694174,32.05
140,0.71,710.5,269.5,220.5,9.426594763361006,5,0.1,1,-6.3875221420453885,10.75
326,0.62,808.5,367.5,220.5,11.915580941783348,5,0.4,2,10.03732312141137,17.15
266,0.86,588.0,294.0,147.0,7.847155624921874,2,0.1,5,-2.211939020590464,27.03
626,0.62,808.5,367.5,220.5,-11.512421648334993,2,0.25,5,4.392087077530339,13.68
83,0.62,808.5,367.5,220.5,10.49511344570182,2,0.25,3,-2.2085912017176432,13.91
61,0.62,808.5,367.5,220.5,25.57728031128862,2,0.4,5,-4.240122117287377,16.54
632,0.98,514.5,294.0,110.25,2.162042683694298,4,0.4,5,4.739548291429065,32.21
735,0.64,784.0,343.0,220.5,16.007306870656866,4,0.25,4,3.2772749140360595,16.56
29,0.62,808.5,367.5,220.5,1.0363077628876778,5,0.25,3,12.809873546474119,13.99
335,0.71,710.5,269.5,220.5,10.601243406990688,5,0.1,5,13.944418138889421,13.69
599,0.66,759.5,318.5,220.5,3.0983630636660418,3,0.25,2,-5.48553246964593,12.93
557,0.66,759.5,318.5,220.5,-3.9110490398523075,5,0.4,1,0.010801685650629445,15.23
311,0.76,661.5,416.5,122.5,10.696487146015173,4,0.0,0,2.432451763119666,24.77
429,0.69,735.0,294.0,220.5,1.3267591173915738,2,0.25,3,2.482424980235085,12.34
182,0.9,563.5,318.5,122.5,3.998428957408504,5,0.4,2,3.624589080861364,35.69
586,0.82,612.5,318.5,147.0,-1.1111676183403016,2,0.4,2,7.522231123602213,28.95
679,0.82,612.5,318.5,147.0,15.244644684992458,2,0.25,5,3.4876270853580644,25.7
464,0.9,563.5,318.5,122.5,3.5058861020942604,2,0.4,3,2.2694381712953695,34.24
223,0.79,637.0,343.0,147.0,7.153182219326016,3,0.25,4,1.3189832766120615,38.84
393,0.69,735.0,294.0,220.5,-10.158863660743574,5,0.4,2,0.7500353368600021,14.62
766,0.98,514.5,294.0,110.25,10.318924002895283,5,0.25,4,8.094282540566397,28.62
570,0.9,563.5,318.5,122.5,26.41373189076418,3,0.25,1,5.21335087324215,33.48
671,0.76,661.5,416.5,122.5,0.7219047349783727,5,0.4,3,10.874428440366774,39.68
412,0.98,514.5,294.0,110.25,5.156794286353861,5,0.4,3,2.831505632109077,32.75
755,0.74,686.0,245.0,220.5,-0.3824466829429465,4,0.25,4,6.556008027000582,12.18
176,0.66,759.5,318.5,220.5,2.0931647645434306,5,0.1,2,19.46918057864699,11.43
525,0.69,735.0,294.0,220.5,6.220410356551124,4,0.1,4,5.769060884410944,11.07
333,0.76,661.5,416.5,122.5,5.534427050236897,5,0.4,4,-4.544186967527751,40.11
163,0.64,784.0,343.0,220.5,15.892161211961499,4,0.1,1,-0.7809041146135791,15.42
248,0.71,710.5,269.5,220.5,9.453535771999494,3,0.4,1,4.685552742420228,14.6
682,0.74,686.0,245.0,220.5,-5.235471203162504,2,0.1,4,4.635059757661203,10.08
74,0.86,588.0,294.0,147.0,4.376842267896658,5,0.4,2,5.543778573747618,31.64
439,0.79,637.0,343.0,147.0,-0.3400225681141089,3,0.1,2,5.746285146539641,37.26
643,0.71,710.5,269.5,220.5,4.155964451308483,3,0.4,3,3.943809972659768,14.03
104,0.86,588.0,294.0,147.0,5.884429794552004,4,0.25,3,6.374331657510417,29.43
114,0.74,686.0,245.0,220.5,-0.1259872721841071,5,0.25,3,9.413295959670744,11.69
749,0.66,759.5,318.5,220.5,15.35330721970079,3,0.4,3,7.109414829521379,15.18
92,0.69,735.0,294.0,220.5,-16.010537266211433,3,0.1,1,6.40795431854783,11.13
380,0.64,784.0,343.0,220.5,13.195551883091204,2,0.4,3,3.416176633657948,18.48
89,0.64,784.0,343.0,220.5,2.67422597654003,5,0.25,1,5.487585880410719,17.37
417,0.76,661.5,416.5,122.5,-0.4360868815392802,5,0.25,3,2.0433288621345893,36.52
477,0.69,735.0,294.0,220.5,-3.154577665843558,2,0.4,4,4.500142422475826,14.54
713,0.98,514.5,294.0,110.25,-5.284576985656846,3,0.1,5,-3.8964420739025263,24.33
707,0.76,661.5,416.5,122.5,4.583636004081086,4,0.25,4,6.309270567577773,36.81
506,0.76,661.5,416.5,122.5,2.153113433928853,2,0.4,5,1.7819023501008893,38.82
11,0.76,661.5,416.5,122.5,11.104683360778344,2,0.1,4,0.41934192100455103,33.08
43,0.86,588.0,294.0,147.0,-9.030898915254028,5,0.4,3,-1.6743082604121597,31.84
42,0.71,710.5,269.5,220.5,1.383881269515114,4,0.0,0,5.027604960929944,6.366
167,0.76,661.5,416.5,122.5,7.407101614848145,3,0.1,1,4.549703244043974,32.12
675,0.79,637.0,343.0,147.0,14.218217390293177,2,0.1,1,9.123794134562509,35.56
666,0.79,637.0,343.0,147.0,21.474450797864883,2,0.4,2,5.1904455976553265,41.64
381,0.9,563.5,318.5,122.5,9.090004249870848,2,0.1,2,4.995357607946087,28.88
178,0.76,661.5,416.5,122.5,7.167091906367694,3,0.1,3,6.314470499842599,33.28
705,0.71,710.5,269.5,220.5,1.3924142713420071,2,0.25,5,9.780629798992523,12.27
518,0.79,637.0,343.0,147.0,3.055017420801824,4,0.1,3,3.011859932999327,36.97
177,0.74,686.0,245.0,220.5,16.791761325824147,3,0.4,5,2.310518776915667,14.19
532,0.9,563.5,318.5,122.5,30.592755402469802,5,0.1,3,9.135236020653096,29.05
539,0.98,514.5,294.0,110.25,4.960353651570417,3,0.4,3,-2.576531031682515,32.69
257,0.62,808.5,367.5,220.5,9.82500479330215,4,0.4,5,1.1397993194301286,16.48
